Date / Time,CPU Usage %,Temperature C
2022-05-10 23:46:29.672697,0.4,56.4
2022-05-10 23:46:39.926214,0.4,55.8
2022-05-10 23:46:50.161074,0.4,55.8
2022-05-10 23:47:00.402278,0.5,56.4
2022-05-10 23:47:10.656230,0.5,56.4
2022-05-10 23:47:20.891014,9.2,56.9
2022-05-10 23:47:31.122482,8.8,59.1
2022-05-10 23:47:41.442264,3,56.9
2022-05-10 23:47:51.685474,2.5,56.9
2022-05-10 23:48:01.936875,2.5,56.4
2022-05-10 23:48:12.190510,3.3,56.9
2022-05-10 23:48:22.450233,0.4,56.4
2022-05-10 23:48:32.707723,0.5,56.4
2022-05-10 23:48:42.993970,0.3,56.4
2022-05-10 23:48:53.256600,0.3,55.8
2022-05-10 23:49:03.509125,0.4,55.8
2022-05-10 23:49:13.750611,0.4,55.8
2022-05-10 23:49:23.972467,0.4,55.8
2022-05-10 23:49:34.220527,0.3,55.8
2022-05-10 23:49:44.592546,0.5,55.8
2022-05-10 23:49:54.849917,0.4,55.8
2022-05-10 23:50:05.131040,0.5,55.8
2022-05-10 23:50:15.498947,0.3,55.8
2022-05-10 23:50:25.748692,0.4,55.8
2022-05-10 23:50:35.972463,0.4,55.8
2022-05-10 23:50:46.241682,0.5,55.3
2022-05-10 23:50:56.524706,0.6,54.8
2022-05-10 23:51:06.744054,0.5,55.3
2022-05-10 23:51:16.995724,0.4,55.8
2022-05-10 23:51:27.241487,0.4,55.8
2022-05-10 23:51:37.483732,0.4,55.8
2022-05-10 23:51:47.722337,0.4,55.8
2022-05-10 23:51:57.963954,0.4,55.3
2022-05-10 23:52:08.194073,0.3,55.8
2022-05-10 23:52:18.443961,0.5,55.8
2022-05-10 23:52:28.712041,0.3,55.8
2022-05-10 23:52:38.999758,0.3,55.8
2022-05-10 23:52:49.271119,0.4,54.8
2022-05-10 23:52:59.615200,0.6,54.8
2022-05-10 23:53:09.888064,0.4,55.3
2022-05-10 23:53:20.142024,0.4,55.8
2022-05-10 23:53:30.373920,0.4,55.8
2022-05-10 23:53:40.621613,0.4,55.8
2022-05-10 23:53:50.850510,0.4,54.8
2022-05-10 23:54:01.095658,0.5,55.3
2022-05-10 23:54:11.342620,0.4,55.3
2022-05-10 23:54:21.608526,0.3,55.3
2022-05-10 23:54:32.029995,0.5,55.8
2022-05-10 23:54:42.266471,0.4,55.3
2022-05-10 23:54:52.734390,0.4,55.3
2022-05-10 23:55:02.972474,0.4,55.8
2022-05-10 23:55:13.292761,0.4,55.3
2022-05-10 23:55:23.527015,0.4,55.3
2022-05-10 23:55:33.764111,0.4,54.8
2022-05-10 23:55:44.010735,0.4,55.8
2022-05-10 23:55:54.238319,0.4,55.8
2022-05-10 23:56:04.487681,0.5,55.3
2022-05-10 23:56:14.762595,0.5,54.8
2022-05-10 23:56:25.022182,0.3,55.3
2022-05-10 23:56:35.315593,0.4,54.8
2022-05-10 23:56:45.566853,0.4,55.3
2022-05-10 23:56:55.799431,0.4,55.3
2022-05-10 23:57:06.039996,0.5,55.3
